,Unnamed: 0,Review,Comment_Count,Reaction,Name,Date,Time
99,105,I am a regular user of #Pathao from today i #Boycott #Pathao till  #Pathao  give any assurance to stop this kind of activities.. #Pathao don't have any right to access our personal information. #Boycott #Pathao,2,6,Estaba Hossain,2018-10-11, 2:11 PM
100,106,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
101,107,Just now got a call from this number: +8809666770800. She is asking too many personal question and telling that this servey will help pathao service.  Is it verified number of pathao or something else??,1,14,Ta NvIr to Pathao Users Of Bangladesh,2018-01-21, 4:42 PM
102,108,"...and share his motorcycle to help you reach your destination in time. To ensure your safety, Pathao riders are personally assessed, trained and verified before they can deliver rides, your whereabouts a...",52,545,Pathao,2017-10-10, 3:54 PM
103,109,+8809666770800 is it Pathao servery related number? Today I got a call & she was asking my personal life related few information???,5,14,Tanvir Islam Bappy to Pathao Users Of Bangladesh,2018-01-18,11:45 PM
104,110,Pathao Ltd. is looking for a driven individual as Operations Executive in our Courier Department. Pathao is the fastest growing technology company in Bangladesh solving some of the country’s most chall...,1,14,CareerBuzz,2018-01-09,10:38 AM
105,111,"...and I called pathao helpline and informed about it. How come my personal number which I gave in Pathao can go to these type of fraud ? Are you aware of these activities ? Unfortunately, there are many...",4,16,Meherdad Yousuf Ahmed to Pathao Bikers & Riders,2017-07-17,10:52 AM
106,112,Personal pathao service for Amma 😍😍😍,6,286,Apple Mahmud Emil,2018-01-21, 5:00 PM
107,113,"As you all know, Pathao is stealing your Data, as a conscious citizen of this country, you should report to Google Play Store for Pathao App.
1. Go to Play Store.
2. Search & Open Pathao App 3. On the upper right corner, you see three dots. Click on that. 4. Select Flag as…",17,55,Nagib Mahfuz Plabon to Desperately Seeking Dhaka - DSD,2018-10-11, 8:43 AM
108,114,That shared video explains how Pathao steals your private data. I have given screenshot of Pathao's AndroidManifest.xml. There are all the permissions that Pathao use to steal data from user but when y...,2,15,Anik Chowdhury,2018-07-11, 7:33 AM
109,115,Disgraceful !! Pathao is a data thief !! This is some SERIOUS invasion of privacy. So many people are complicit in this and I truly wonder what they were thinking. Why on earth would a 'corporate compa...,1,8,Nazmu Masood,2018-08-11,11:23 PM
