Star,Date,Name,Reaction,Review
1,"3 21, 2018 3 23, 2018",SYED ASHRAFUL ISLAM ASHEQUE Pathao Inc,0,I hate this app
1,"11 7, 2018 11 7, 2018",Inzamamul Pranto Pathao Inc,1,Stealing personal data without any consent and breaking the Google app laws. Google need to review this app. It's high time.
1,"11 8, 2018 11 8, 2018",TenSen Prapon Pathao Inc,2,You guys have stolen our data. please don't blackmail us.
1,"10 21, 2018 11 4, 2018",Nilufa Khan Pathao Inc,2,My pathao credit didn't work
1,"11 7, 2018 11 7, 2018",ghanshyam jha Pathao Inc,1,Registration problem while email id is given..
1,"10 30, 2018 10 31, 2018",mortuza mamun Pathao Inc,1,Not able to use it for 15 days.My GPS is on but asking to On GPS.can't load my Location. Hope they will fixed it
1,"4 2, 2018 4 13, 2018",Mr. Tissue Pathao Inc,0,advertise disturb me
1,"11 7, 2018 11 7, 2018",Rifat Tareq Pathao Inc,1,Apprently this app is stealing data without user consent. Unfortunate.
1,"10 31, 2018 11 3, 2018",Subro Chowdhury Pathao Inc,0,এ্যাপস এর দেওয়া ডিসকাউন্ট দেখালে কেউ নিতে রাজি হয় না!! পুরো টাকা দাবি করে/ ডিসকাউন্ট এ এ্যাপ কাজ করে না বলে!! সাভিসটা ফালতুই লাগছে
1,"10 18, 2018 11 4, 2018",Orioyn Caleb Pathao Inc,28,Ride surur age ek rate ride sese tar chaite onek besi tk app a show kore. Amon batpari kn
1,"11 6, 2018 11 6, 2018",A. K. M. Kamranul Ahsan Pathao Inc,0,A time killing app and a system full of unprofessional drivers
1,"11 9, 2018 10 26, 2017",Tushar Paul Leo. Pathao Inc,3,"যে দেশের মানুষের কষ্টের টাকাতেই ব্যাবসা করেন,আবার সেই দেশের মানুষের ব্যাক্তিগত তথ্য চুরি করে বাশ দেন? মনে রাখবেন আঙুল ফুলে কলাগাছ হইছেন আমাদের টাকাতেই। ছিঃ ধিক্কার।এরকম একটা এপ্স এত নিচু কাজ করবেন এটা আশা করিনি কখনো। আপনাদেত ক্ষমা চাওয়া উচিত। আনইন্সটল করলাম।"
1,"10 25, 2018 11 4, 2018",Mandip Dangol Pathao Inc,0,Stop sending spam texts to my phone.
1,"10 24, 2018 11 4, 2018",Rajib Sikder Pathao Inc,5,Cupon submit দিয়ে দেখি ধানমন্ডি ১৫ - গুলিস্তান ডিসকাউন্ট সহ মোট বিলঃ ৪৫ টাকা। যাওয়ার পর ভাড়া দেওয়া লাগলো ১৩২ টাকা। কারন জিগ্যেস করলে বলে কিছু করার নাই। কত বড় জালিয়াতি
1,"11 6, 2018 11 7, 2018",Rafiqunnabi Nayan Pathao Inc,4,"*** Alert*** This app will read all of your SMS, contacts and will store them in their server. This is surely a privacy violation."
1,"10 23, 2018 11 4, 2018",A Google user Pathao Inc,4,Worst service ever. And plz train your employee. Such a stupid bike driver.
1,"8 11, 2018 11 13, 2018",A Google user Pathao Inc,0,Bad app and needs lot of improvements
1,"3 19, 2018 3 21, 2018",Indian Maja50000subs Pathao Inc,0,I'm not satisfied from this app.
1,"10 24, 2018 11 4, 2018",Ashraf Hossain Pathao Inc,0,Good app
1,"11 7, 2018 11 8, 2018",EzzyTech Networks Pathao Inc,2,Pathao is just a thief.
1,"11 7, 2018 11 7, 2018",A Google user Pathao Inc,3,They collect extra information .which is not required
1,"3 8, 2018 3 23, 2018",Suzan Sheikh Pathao Inc,0,"আগে এ্যাপ এর কোয়ালিটি ঠিক করেন, কাষ্টমার সারর্ভিস দেন,  তার পরে বিজনেস করেন।"
1,"11 8, 2018 11 8, 2018",Ariful Islam Pathao Inc,2,"this app steals personal data as like contacts, sms"
1,"10 26, 2018 11 4, 2018",Mohammad Ibrahim Pathao Inc,0,It can't trace my location. Takes to much time even in Wi-Fi. Fix it asap.
1,"10 29, 2018 11 3, 2018",Nayeem Hasan Pathao Inc,0,Why doesn't the email access take my email.. I open account... Y does that.. Faltu
1,"10 7, 2018 11 6, 2018",Mezbah Shikder Pathao Inc,0,This app is top of the disgusting levels.
1,"11 7, 2018 11 8, 2018",fardin ahmed Pathao Inc,4,"One word to describe the pathao ""betrayer"""
1,"11 7, 2018 11 7, 2018",A Google user Pathao Inc,2,Why do you need access to my contacts and messages?
1,"11 7, 2018 11 7, 2018",Aklil Bin Rafiq Pathao Inc,1,They are stealing my personal information !!!!
1,"10 24, 2018 11 4, 2018",Md. Naimul Haq Pathao Inc,0,Never leaves notification. Very irritating
1,"9 22, 2018 11 10, 2018",Make Fun Of Media Pathao Inc,0,এই app সবাই ব্যাবহার করতে কষ্ট হবে! আরো ইজি করে তৈরি করেন! ব্যাবহার করতে ও ঝামেলা
1,"1 22, 2018 1 24, 2018",A Google user Pathao Inc,0,This is one of the badest apps I have seen in my life ... Don't install it and waste your time
1,"10 24, 2018 11 4, 2018",A Google user Pathao Inc,0,Over much Slow and ফালতু App👎🏿
1,"10 12, 2018 11 1, 2018",Smmfast service Pathao Inc,0,Very slow & Location Track very slow.
1,"3 29, 2017 4 2, 2017",Mahfuzur Rahman Pathao Inc,0,Pick up GPS location problem
1,"11 7, 2018 11 8, 2018",Rafiul Islam Pathao Inc,4,This app has taken all my private data including my messages and contacts.
1,"10 31, 2018 11 3, 2018",A Google user Pathao Inc,2,Enter your age?? K garne ho age ko ani age rakhne thau nai xaina.... nonsense app
1,"8 22, 2018 11 12, 2018",R.R Help master Pathao Inc,0,"dhamrai, saver ar kono rider nai."
